thin, iterations, dimensions, time, d_time, r_time, size, d_size, r_size
 100, 1000, 2, 2.63, 0, 0.00263, 306864, 0, 306.864 
 100, 2000, 2, 6.254, 3.624, 0.003624, 308976, 2112, 2.112 
 100, 3000, 2, 7.409, 4.779, 0.009558, 311136, 4272, 8.544 
 100, 4000, 2, 9.512, 6.882, 0.020646, 313296, 6432, 19.296 
 100, 5000, 2, 11.724, 9.094, 0.036376, 315456, 8592, 34.368 
 100, 1000, 3, 6.783, 0, 0.006783, 359880, 0, 359.88 
 100, 2000, 3, 15.421, 8.638, 0.008638, 364232, 4352, 4.352 
 100, 3000, 3, 20.59, 13.807, 0.027614, 368632, 8752, 17.504 
 100, 4000, 3, 26.312, 19.529, 0.058587, 373032, 13152, 39.456 
 100, 5000, 3, 32.83, 26.047, 0.104188, 377432, 17552, 70.208 
 100, 1000, 4, 10.74, 0, 0.01074, 414520, 0, 414.52 
 100, 2000, 4, 20.572, 9.83199999999999, 0.00983199999999999, 421912, 7392, 7.392 
 100, 3000, 4, 30.326, 19.586, 0.039172, 429352, 14832, 29.664 
 100, 4000, 4, 46.487, 35.747, 0.107241, 436792, 22272, 66.816 
 100, 5000, 4, 50.677, 39.937, 0.159748, 444232, 29712, 118.848 
 100, 1000, 5, 16.808, 0, 0.016808, 471176, 0, 471.176 
 100, 2000, 5, 33.271, 16.463, 0.016463, 482408, 11232, 11.232 
 100, 3000, 5, 52.106, 35.298, 0.070596, 493688, 22512, 45.024 
 100, 4000, 5, 64.882, 48.074, 0.144222, 504968, 33792, 101.376 
 100, 5000, 5, 82.415, 65.607, 0.262428, 516248, 45072, 180.288 
 100, 1000, 6, 24, 0, 0.024, 529664, 0, 529.664 
 100, 2000, 6, 47.678, 23.678, 0.023678, 545536, 15872, 15.872 
 100, 3000, 6, 72.6950000000001, 48.6950000000001, 0.0973900000000001, 561456, 31792, 63.584 
 100, 4000, 6, 98.073, 74.073, 0.222219, 577376, 47712, 143.136 
 100, 5000, 6, 120.434, 96.434, 0.385736, 593296, 63632, 254.528 
 100, 1000, 7, 34.513, 0, 0.034513, 590120, 0, 590.12 
 100, 2000, 7, 68.7860000000001, 34.273, 0.034273, 611432, 21312, 21.312 
 100, 3000, 7, 116.76, 82.2469999999998, 0.164494, 632792, 42672, 85.344 
 100, 4000, 7, 162.565, 128.052, 0.384155999999999, 654152, 64032, 192.096 
 100, 5000, 7, 183.336, 148.823, 0.595292, 675512, 85392, 341.568 
 100, 1000, 8, 49.8720000000001, 0, 0.0498720000000001, 652392, 0, 652.392 
 100, 2000, 8, 104.405, 54.5329999999999, 0.0545329999999999, 679944, 27552, 27.552 
 100, 3000, 8, 148.586, 98.7139999999999, 0.197428, 707544, 55152, 110.304 
 100, 4000, 8, 187.935, 138.063, 0.414189, 735144, 82752, 248.256 
 100, 5000, 8, 231.163, 181.291, 0.725164, 762744, 110352, 441.408 
 100, 1000, 9, 65.5269999999996, 0, 0.0655269999999996, 716816, 0, 716.816 
 100, 2000, 9, 128.122, 62.5950000000007, 0.0625950000000007, 751408, 34592, 34.592 
 100, 3000, 9, 199.466, 133.939, 0.267878000000001, 786048, 69232, 138.464 
 100, 4000, 9, 244.003, 178.476, 0.535428, 820688, 103872, 311.616 
 100, 5000, 9, 305.57, 240.043, 0.960172, 855328, 138512, 554.048 
 100, 1000, 10, 88.0810000000001, 0, 0.0880810000000001, 783056, 0, 783.056 
 100, 2000, 10, 168.367, 80.2860000000001, 0.0802860000000001, 825488, 42432, 42.432 
 100, 3000, 10, 223.124, 135.043, 0.270085999999999, 867968, 84912, 169.824 
 100, 4000, 10, 290.481, 202.4, 0.6072, 910448, 127392, 382.176 
 100, 5000, 10, 357.369000000001, 269.288, 1.077152, 952928, 169872, 679.488 
 100, 1000, 11, 87.4120000000003, 0, 0.0874120000000003, 851576, 0, 851.576 
 100, 2000, 11, 177.317, 89.9049999999997, 0.0899049999999997, 902648, 51072, 51.072 
 100, 3000, 11, 259.804999999999, 172.392999999999, 0.344785999999998, 953768, 102192, 204.384 
 100, 4000, 11, 358.382000000001, 270.97, 0.812910000000001, 1004888, 153312, 459.936 
 100, 5000, 11, 454.435, 367.023, 1.468092, 1056008, 204432, 817.728 
 100, 1000, 12, 108.716, 0, 0.108716, 922360, 0, 922.36 
 100, 2000, 12, 218.555, 109.839, 0.109839, 982872, 60512, 60.512 
 100, 3000, 12, 327.205, 218.489, 0.436977999999999, 1043432, 121072, 242.144 
 100, 4000, 12, 437.451, 328.735, 0.986204999999999, 1103992, 181632, 544.896 
 100, 5000, 12, 541.606, 432.889999999999, 1.73156, 1164552, 242192, 968.768 
 100, 1000, 13, 131.05, 0, 0.13105, 995424, 0, 995.424 
 100, 2000, 13, 262.097000000001, 131.047, 0.131047, 1066176, 70752, 70.752 
 100, 3000, 13, 390.075, 259.025, 0.518049999999999, 1136976, 141552, 283.104 
 100, 4000, 13, 522.456999999999, 391.406999999999, 1.174221, 1207776, 212352, 637.056 
 100, 5000, 13, 654.808999999999, 523.758999999999, 2.095036, 1278576, 283152, 1132.608 
 100, 1000, 14, 155.754999999999, 0, 0.155754999999999, 1070752, 0, 1070.752 
 100, 2000, 14, 311.233, 155.478000000001, 0.155478000000001, 1152544, 81792, 81.792 
 100, 3000, 14, 466.937, 311.182000000001, 0.622364000000001, 1234384, 163632, 327.264 
 100, 4000, 14, 617.804, 462.049000000001, 1.386147, 1316224, 245472, 736.416 
 100, 5000, 14, 775.233999999999, 619.478999999999, 2.477916, 1398064, 327312, 1309.248 
 100, 1000, 15, 183.778, 0, 0.183778, 1148360, 0, 1148.36 
 100, 2000, 15, 366.991, 183.213, 0.183213, 1241992, 93632, 93.632 
 100, 3000, 15, 555.140000000001, 371.362000000001, 0.742724000000002, 1335672, 187312, 374.624 
 100, 4000, 15, 740.084000000001, 556.306, 1.668918, 1429352, 280992, 842.976 
 100, 5000, 15, 923.030999999999, 739.252999999999, 2.957012, 1523032, 374672, 1498.688 
 100, 1000, 16, 215.998, 0, 0.215998, 1228232, 0, 1228.232 
 100, 2000, 16, 436.129999999999, 220.132, 0.220132, 1334504, 106272, 106.272 
 100, 3000, 16, 646.139000000001, 430.141000000001, 0.860282000000003, 1440824, 212592, 425.184 
 100, 4000, 16, 861.671, 645.673000000001, 1.937019, 1547144, 318912, 956.736 
 100, 5000, 16, 1294.786, 1078.788, 4.315152, 1653464, 425232, 1700.928 
 100, 1000, 17, 278.099000000002, 0, 0.278099000000002, 1310416, 0, 1310.416 
 100, 2000, 17, 551.488000000001, 273.388999999999, 0.273388999999999, 1430128, 119712, 119.712 
 100, 3000, 17, 765.526000000002, 487.427, 0.974853999999999, 1549888, 239472, 478.944 
 100, 4000, 17, 1045.182, 767.082999999999, 2.301249, 1669648, 359232, 1077.696 
 100, 5000, 17, 1278.687, 1000.588, 4.002352, 1789408, 478992, 1915.968 
 1000, 10000, 2, 21.5139999999992, 0, 0.00215139999999992, 306864, 0, 30.6864 
 1000, 20000, 2, 42.5290000000023, 21.0150000000031, 0.00210150000000031, 308976, 2112, 0.2112 
 1000, 30000, 2, 63.7459999999992, 42.232, 0.00844639999999999, 311136, 4272, 0.8544 
 1000, 40000, 2, 84.7969999999987, 63.2829999999994, 0.0189848999999998, 313296, 6432, 1.9296 
 1000, 50000, 2, 106.821, 85.3070000000007, 0.0341228000000003, 315456, 8592, 3.4368 
 1000, 10000, 3, 58.875, 0, 0.0058875, 359880, 0, 35.988 
 1000, 20000, 3, 115.823999999997, 56.9489999999969, 0.00569489999999969, 364232, 4352, 0.4352 
 1000, 30000, 3, 175.388999999999, 116.513999999999, 0.0233027999999998, 368632, 8752, 1.7504 
 1000, 40000, 3, 230.575000000001, 171.700000000001, 0.0515100000000002, 373032, 13152, 3.9456 
 1000, 50000, 3, 290.191999999999, 231.316999999999, 0.0925267999999996, 377432, 17552, 7.0208 
 1000, 10000, 4, 98.4550000000017, 0, 0.00984550000000018, 414520, 0, 41.452 
 1000, 20000, 4, 188.761999999999, 90.3069999999971, 0.00903069999999971, 421912, 7392, 0.7392 
 1000, 30000, 4, 279.300999999999, 180.845999999998, 0.0361691999999995, 429352, 14832, 2.9664 
 1000, 40000, 4, 369.448, 270.992999999999, 0.0812978999999996, 436792, 22272, 6.6816 
 1000, 50000, 4, 461.976999999999, 363.521999999997, 0.145408799999999, 444232, 29712, 11.8848 
 1000, 10000, 5, 152.113000000001, 0, 0.0152113000000001, 471176, 0, 47.1176 
 1000, 20000, 5, 308.260000000002, 156.147000000001, 0.0156147000000001, 482408, 11232, 1.1232 
 1000, 30000, 5, 428.280000000002, 276.167000000001, 0.0552334000000003, 493688, 22512, 4.5024 
 1000, 40000, 5, 612.264000000003, 460.151000000002, 0.1380453, 504968, 33792, 10.1376 
 1000, 50000, 5, 746.137000000002, 594.024000000001, 0.237609600000001, 516248, 45072, 18.0288 
 1000, 10000, 6, 220.964, 0, 0.0220964, 529664, 0, 52.9664 
 1000, 20000, 6, 457.657999999999, 236.694, 0.0236694, 545536, 15872, 1.5872 
 1000, 30000, 6, 688.608, 467.644, 0.0935288000000001, 561456, 31792, 6.3584 
 1000, 40000, 6, 898.931, 677.967000000001, 0.2033901, 577376, 47712, 14.3136 
 1000, 50000, 6, 1118.278, 897.314000000002, 0.358925600000001, 593296, 63632, 25.4528 
 1000, 10000, 7, 312.762000000002, 0, 0.0312762000000002, 590120, 0, 59.012 
 1000, 20000, 7, 624.678, 311.915999999997, 0.0311915999999997, 611432, 21312, 2.1312 
 1000, 30000, 7, 935.727999999999, 622.965999999997, 0.124593199999999, 632792, 42672, 8.5344 
 1000, 40000, 7, 1246.696, 933.933999999994, 0.280180199999998, 654152, 64032, 19.2096 
 1000, 50000, 7, 1538.84, 1226.07799999999, 0.490431199999998, 675512, 85392, 34.1568 
 1000, 10000, 8, 415.479999999996, 0, 0.0415479999999996, 652392, 0, 65.2392 
 1000, 20000, 8, 831.110000000001, 415.630000000005, 0.0415630000000005, 679944, 27552, 2.7552 
 1000, 30000, 8, 1246.114, 830.634000000005, 0.166126800000001, 707544, 55152, 11.0304 
 1000, 40000, 8, 1689.904, 1274.42400000001, 0.382327200000002, 735144, 82752, 24.8256 
 1000, 50000, 8, 2117.721, 1702.241, 0.680896400000001, 762744, 110352, 44.1408 
 1000, 10000, 9, 550.192000000003, 0, 0.0550192000000003, 716816, 0, 71.6816 
 1000, 20000, 9, 1106.859, 556.666999999994, 0.0556666999999994, 751408, 34592, 3.4592 
 1000, 30000, 9, 1669.089, 1118.897, 0.223779399999999, 786048, 69232, 13.8464 
 1000, 40000, 9, 2228.321, 1678.12899999999, 0.503438699999998, 820688, 103872, 31.1616 
 1000, 50000, 9, 2781.334, 2231.142, 0.8924568, 855328, 138512, 55.4048 
 1000, 10000, 10, 682.610000000001, 0, 0.0682610000000001, 783056, 0, 78.3056 
 1000, 20000, 10, 1361.988, 679.377999999997, 0.0679377999999997, 825488, 42432, 4.2432 
 1000, 30000, 10, 2141.638, 1459.028, 0.2918056, 867968, 84912, 16.9824 
 1000, 40000, 10, 2835.24299999999, 2152.63299999999, 0.645789899999998, 910448, 127392, 38.2176 
 1000, 50000, 10, 3428.275, 2745.665, 1.098266, 952928, 169872, 67.9488 
 1000, 10000, 11, 860.526000000005, 0, 0.0860526000000005, 851576, 0, 85.1576 
 1000, 20000, 11, 1723.33, 862.803999999996, 0.0862803999999996, 902648, 51072, 5.1072 
 1000, 30000, 11, 5724.04500000001, 4863.519, 0.9727038, 953768, 102192, 20.4384 
 1000, 40000, 11, 3601.005, 2740.479, 0.8221437, 1004888, 153312, 45.9936 
 1000, 50000, 11, 4757.356, 3896.82999999999, 1.558732, 1056008, 204432, 81.7728 
 1000, 10000, 12, 1507.42600000001, 0, 0.150742600000001, 922360, 0, 92.236 
 1000, 20000, 12, 2410.90599999999, 903.479999999981, 0.0903479999999981, 982872, 60512, 6.0512 
 1000, 30000, 12, 3193.053, 1685.62699999999, 0.337125399999999, 1043432, 121072, 24.2144 
 1000, 40000, 12, 5918.68799999999, 4411.26199999999, 1.3233786, 1103992, 181632, 54.4896 
 1000, 50000, 12, 6561.659, 5054.23299999999, 2.0216932, 1164552, 242192, 96.8768 
 1000, 10000, 13, 1313.753, 0, 0.1313753, 995424, 0, 99.5424 
 1000, 20000, 13, 2617.151, 1303.398, 0.1303398, 1066176, 70752, 7.0752 
 1000, 30000, 13, 4328.79699999999, 3015.04399999999, 0.603008799999999, 1136976, 141552, 28.3104 
 1000, 40000, 13, 5569.575, 4255.822, 1.2767466, 1207776, 212352, 63.7056 
 1000, 50000, 13, 6488.50899999999, 5174.75599999999, 2.0699024, 1278576, 283152, 113.2608 
 1000, 10000, 14, 1470.371, 0, 0.1470371, 1070752, 0, 107.0752 
 1000, 20000, 14, 3064.064, 1593.693, 0.1593693, 1152544, 81792, 8.1792 
 1000, 30000, 14, 4422.181, 2951.81, 0.590361999999999, 1234384, 163632, 32.7264 
 1000, 40000, 14, 5906.63100000001, 4436.26000000001, 1.330878, 1316224, 245472, 73.6416 
 1000, 50000, 14, 7660.84599999999, 6190.47499999999, 2.47619, 1398064, 327312, 130.9248 
 1000, 10000, 15, 1836.80499999999, 0, 0.183680499999999, 1148360, 0, 114.836 
 1000, 20000, 15, 3634.45199999999, 1797.647, 0.1797647, 1241992, 93632, 9.3632 
 1000, 30000, 15, 5499.88900000002, 3663.08400000003, 0.732616800000006, 1335672, 187312, 37.4624 
 1000, 40000, 15, 8660.34599999999, 6823.541, 2.0470623, 1429352, 280992, 84.2976 
 1000, 50000, 15, 11812.93, 9976.125, 3.99045, 1523032, 374672, 149.8688 
 1000, 10000, 16, 2509.71300000002, 0, 0.250971300000002, 1228232, 0, 122.8232 
 1000, 20000, 16, 4798.12399999998, 2288.41099999996, 0.228841099999996, 1334504, 106272, 10.6272 
 1000, 30000, 16, 6523.27300000002, 4013.56, 0.802712, 1440824, 212592, 42.5184 
 1000, 40000, 16, 8687.35699999999, 6177.64399999997, 1.85329319999999, 1547144, 318912, 95.6736 
 1000, 50000, 16, 10994.523, 8484.80999999997, 3.39392399999999, 1653464, 425232, 170.0928 
 1000, 10000, 17, 2472.07000000001, 0, 0.247207000000001, 1310416, 0, 131.0416 
 1000, 20000, 17, 4962.42800000001, 2490.35800000001, 0.249035800000001, 1430128, 119712, 11.9712 
 1000, 30000, 17, 7518.986, 5046.916, 1.0093832, 1549888, 239472, 47.8944 
 1000, 40000, 17, 9916.07700000002, 7444.00700000001, 2.2332021, 1669648, 359232, 107.7696 
 1000, 50000, 17, 12239.271, 9767.201, 3.9068804, 1789408, 478992, 191.5968 
